Name,Date,Amount lost,Chains,Classification,Technique,Language
Maestro,1698019200,465000,Ethereum,Protocol Logic,Arbitrary External Call,
Platypus Finance,1697155200,2200000,Avalanche,Protocol Logic,Reentrancy,Solidity
Arena SocialFi,1696636800,2900000,Avalanche,Protocol Logic,Reentrancy,Solidity
Balancer V2,1695081600,238000,Ethereum,Protocol Logic,Frontend Attack,
GMBL.COMPUTER,1693958400,815000,Arbitrum,Protocol Logic,Referral Claims Logic Exploit,
SharedStake,1693526400,175000,Ethereum,Protocol Logic,Ownership Override Attack,
Balancer V2,1693094400,800000,Ethereum,Protocol Logic,,Solidity
Exactly,1692316800,7200000,Optimism,Protocol Logic,DebtManager Exploit,Solidity
Earning.Farm,1691539200,540000,Ethereum,Protocol Logic,Reentrancy,Solidity
Steadefi,1691452800,1157000,Ethereum,Protocol Logic,Deployer Wallet Compromised,
LeetSwap,1690848000,620000,Base,Protocol Logic,Liquidity Pools Compromised,Solidity
EraLend,1690243200,3400000,zkSync Era,Protocol Logic,Reentrancy,Solidity
Palmswap,1690156800,900000,BSC,Protocol Logic,Inflationary Accounting Manipulation,Solidity
Rodeo,1688428800,90000,Arbitrum,Protocol Logic,Mint Reserves Logic Exploit,Solidity
AzukiDAO,1688342400,68000,Ethereum,Protocol Logic,Replay Attack,Solidity
Ara Finance,1687132800,131000,BSC,Protocol Logic,Access Control Exploit,
Midas Capital,1686960000,600000,BSC,Protocol Logic,Redeem Rounding Error Exploit,Solidity
Tropykus RSK,1686700800,150000,Rootstock,Protocol Logic,Redeem Rounding Error Exploit,Solidity
Hector Lending,1685664000,653000,Fantom,Protocol Logic,Unknown,
Local Traders,1684886400,118000,BSC,Protocol Logic,Access Control Exploit,Solidity
DEUS Finance,1683244800,6500000,"Arbitrum, BSC, Ethereum",Protocol Logic,Burn Function Mistake,Solidity
Level Perps,1682899200,1000000,BSC,Protocol Logic,Referral Claims Logic Exploit,Solidity
Hundred Finance,1681516800,7000000,Optimism,Protocol Logic,Flashloan Donate Function Logic Exploit,Solidity
SushiSwap,1681084800,3300000,"Ethereum, Arbitrum, Optimism, BSC",Protocol Logic,Missing Input Validation,Solidity
Safemoon,1679961600,8900000,BSC,Protocol Logic,Access Control Exploit,Solidity
ParaSpace Lending V1,1679011200,5000000,Ethereum,Protocol Logic,Borrow Logic Exploit,Solidity
Euler V1,1678665600,197000000,Ethereum,Protocol Logic,Flashloan Donate Function Logic Exploit,Solidity
Hedera,1678406400,515000,Hedera,Protocol Logic,Unknown,
LaunchZone,1677456000,700000,BSC,Protocol Logic,Access Control Exploit,Solidity
Dexible V2,1676851200,2000000,"Ethereum, Arbitrum",Protocol Logic,Arbitrary External Call,Solidity
dForce Lending,1675987200,3650000,"Arbitrum, Optimism",Protocol Logic,Reentrancy,Solidity
Orion Pools,1675296000,3000000,BSC,Protocol Logic,Reentrancy,Solidity
BonqDAO,1675209600,1700000,Polygon,Protocol Logic,Price Oracle Attack,Solidity
Omm,1674259200,1891000,Icon,Protocol Logic,Redeem Function Exploit,Java
LendHub,1673827200,6000000,Heco,Protocol Logic,Collateral Offboarding Mistake,Solidity
Amun,1672012800,300000,Ethereum,Protocol Logic,Controlled Rebalance Manipulation,
Rubic,1671926400,1410000,Ethereum,Protocol Logic,Router Exploit,Solidity
Ankr,1669939200,5000000,BSC,Protocol Logic,Access Control Exploit,Solidity
DFX V2,1668038400,4000000,Ethereum,Protocol Logic,Reentrancy,Solidity
pNetwork,1667433600,4589449,BSC,Protocol Logic,Misconfiguration,Solidity
Skyward Finance,1667347200,3000000,Near,Protocol Logic,Reentrancy,Rust
Team Finance,1666828800,15800000,Ethereum,Protocol Logic,Migrate Function Mistake Exploit,Solidity
Bond Protocol,1666310400,300000,Ethereum,Protocol Logic,Arbitrary External Call,Solidity
TempleDAO,1665446400,2300000,Ethereum,Protocol Logic,Exploit Lack of Input Authentication,Solidity
Binance Bridge,1665014400,570000000,BSC,Protocol Logic,Proof Verifier Bug,
Sovryn,1664841600,1100000,RSK,Protocol Logic,Flashloan Reentrancy Attack,Solidity
Transit Swap,1664668800,21000000,"Ethereum, BSC",Protocol Logic,Transfer Logic Exploit,Solidity
Nomad,1659312000,190000000,Ethereum,Protocol Logic,Trusted Root Exploit,Solidity
Audius,1658707200,6000000,Ethereum,Protocol Logic,Malicious Governance Proposal,Solidity
Crema Finance,1656720000,8800000,Solana,Protocol Logic,Access Control Exploit,Rust
Gym Network,1654646400,2100000,BSC,Protocol Logic,Deposit Function Exploit,Solidity
Drift Trade,1652227200,14500000,Solana,Protocol Logic,realized PnL withdrawal bug,Rust
Fortress Loans,1651968000,3000000,BSC,Protocol Logic,Governance and Oracle Exploit,Solidity
Cashio,1647993600,48000000,Solana,Protocol Logic,Collateral Validation Exploit,Rust
Fantasm Finance,1646784000,2260000,Fantom,Protocol Logic,Missing Condition Check,Solidity
Treasure,1646265600,1400000,Arbitrum,Protocol Logic,Buy Function Exploit,Solidity
Superfluid,1644278400,8700000,Polygon,Protocol Logic,CTX Exploit,Solidity
Meter,1644105600,7700000,Ethereum,Protocol Logic,Deposit Function Exploit,Solidity
Portal,1643760000,326000000,Solana,Protocol Logic,Signature Exploit,Rust
Qubit,1643328000,80000000,BSC,Protocol Logic,Transfer Logic Exploit,Solidity
Gamma,1640044800,8200000,Ethereum,Protocol Logic,Access Control Exploit,Solidity
Bent Finance,1640044800,1750000,Ethereum,Protocol Logic,User Balances Manually Updated,Solidity
MonoX,1638230400,31400000,"Ethereum, Polygon",Protocol Logic,Swap Function Exploit,Solidity
ChainSwap,1636243200,4400000,"Ethereum, BSC",Protocol Logic,Exploit Weak Authentication Check,Solidity
Vesper Finance,1635897600,3370000,Ethereum,Protocol Logic,Oracle Manipulation,Solidity
pNetwork,1633305600,13000000,"BSC, Bitcoin",Protocol Logic,Log Spoofing,Rust
Compound V2,1632873600,147000000,Ethereum,Protocol Logic,Math Mistake Exploit,Solidity
NowSwap,1631664000,1000000,Ethereum,Protocol Logic,Inconsistent Value in Code,Solidity
Zabu Finance,1631404800,3200000,Avalanche,Protocol Logic,Flashloan Exploit,Solidity
DAO Maker Vesting,1630713600,4000000,Ethereum,Protocol Logic,Access Control Exploit,Solidity
Acala Network,1628812800,1600000,Acala,Protocol Logic,Incentives Function Mistake,Solidity
Poly Network,1628553600,611000000,"Ethereum, BSC, Polygon",Protocol Logic,Access Control Exploit,Solidity
Thorchain DEX,1626912000,8000000,Ethereum,Protocol Logic,Refund Logic Exploit,Solidity
Thorchain DEX,1626307200,5000000,Ethereum,Protocol Logic,Over-ride Logic Exploit,Solidity
Multichain,1625875200,7900000,"Ethereum, BSC, Fantom",Protocol Logic,Private Key Compromised (Bad ECDSA Implementation),Solidity
Merlin,1624924800,330000,BSC,Protocol Logic,Incentive Rewards Exploit,Solidity
Safe Dollar,1624838400,248000,Polygon,Protocol Logic,Incentive Rewards Exploit,Solidity
Alchemix V2,1623801600,6500000,Ethereum,Protocol Logic,Borrow Logic Exploit,Solidity
Merlin,1621987200,550000,BSC,Protocol Logic,Math Mistake Exploit,Solidity
Rari Capital,1620432000,10000000,Ethereum,Protocol Logic,Price Oracle Attack,Solidity
ValueDefi,1620345600,11000000,BSC,Protocol Logic,Math Mistake Exploit,Solidity
ValueDefi,1620172800,10000000,BSC,Protocol Logic,Access Control Exploit,Solidity
Uranium Finance,1619568000,57200000,BSC,Protocol Logic,Math Mistake Exploit,Solidity
DODO AMM,1615248000,2000000,Ethereum,Protocol Logic,Access Control Exploit,Solidity
Cover Protocol,1609200000,9400000,Ethereum,Protocol Logic,Incentives Function Mistake,Solidity
Pickle,1606003200,19700000,Ethereum,Protocol Logic,Vault Swap Exploit,Solidity
dForce Lending,1587254400,25000000,Ethereum,Protocol Logic,Reentrancy,
Ooki,1581984000,650000,Ethereum,Protocol Logic,Flashloan Price Oracle Attack,
Ooki,1581724800,350000,Ethereum,Protocol Logic,Flashloan Slippage Attack,
Parity Multisig,1510185600,150000000,Ethereum,Protocol Logic,Contract not initialized,Solidity
CoinDash,1500336000,7700000,Ethereum,Protocol Logic,Frontend Attack,
The DAO,1466121600,60000000,Ethereum,Protocol Logic,Reentrancy,Solidity
